,tfidf
로움,0.014771196035218556
존재,0.014722122294237763
분야,0.01467304855325697
특근,0.01467304855325697
소통,0.01467304855325697
서로,0.014574901071295386
이름,0.014574901071295386
의견,0.014525827330314593
칼퇴,0.014525827330314593
특성,0.014525827330314593
항상,0.014427679848353008
처우,0.014427679848353008
내부,0.014231384884429838
대한민국,0.014231384884429838
어려움,0.014231384884429838
해결,0.014182311143449046
게임,0.01408416366148746
교대근무,0.013986016179525875
자리,0.01388786869756429
무난,0.01388786869756429
책임,0.013838794956583498
파견,0.013789721215602705
이유,0.013740647474621913
식사,0.01369157373364112
처리,0.013593426251679535
차별,0.013544352510698743
바람,0.01349527876971795
시장,0.01349527876971795
동료,0.013446205028737158
업체,0.013446205028737158
직문,0.013348057546775573
해외,0.013200836323833195
회의,0.013151762582852403
집중,0.013151762582852403
중소기업,0.01310268884187161
나이,0.01310268884187161
근무시간,0.013004541359910025
합리,0.012955467618929233
한번,0.012955467618929233
유지,0.012955467618929233
규모,0.012955467618929233
포인트,0.012857320136967648
혁신,0.012857320136967648
임밸류,0.012808246395986855
보지,0.012808246395986855
기존,0.012808246395986855
실력,0.01271009891402527
장기,0.01271009891402527
방향,0.012611951432063685
관계,0.012464730209121307
관리자,0.012415656468140515
역시,0.012366582727159722
부바,0.01231750898617893
정직,0.012268435245198137
종업,0.012219361504217345
전체,0.012170287763236552
지급,0.01212121402225576
최근,0.012072140281274967
상황,0.012023066540294175
마음,0.012023066540294175
관심,0.011973992799313382
매출,0.01192491905833259
반복,0.011875845317351797
통근,0.011826771576371005
현재,0.011826771576371005
라면,0.01172862409440942
일도,0.011679550353428627
인상,0.011581402871467042
카페,0.011581402871467042
건물,0.01153232913048625
엔지니어,0.011483255389505455
가끔,0.011483255389505455
존중,0.011434181648524663
케바케,0.01138510790754387
재택근무,0.011237886684601493
제일,0.0111888129436207
실무,0.0111888129436207
하루,0.0111888129436207
산업,0.011090665461659115
기계,0.011041591720678322
도움,0.01099251797969753
진급,0.01099251797969753
이동,0.01099251797969753
가족,0.010943444238716737
강요,0.010894370497735945
엘지,0.010894370497735945
통해,0.010894370497735945
위주,0.010894370497735945
프로젝트,0.010845296756755152
이기,0.01079622301577436
모습,0.01079622301577436
센티,0.01079622301577436
매일,0.010698075533812775
제조업,0.010698075533812775
절대,0.010649001792831982
방식,0.01059992805185119
아침,0.01059992805185119
저녁,0.010550854310870397
결정,0.010501780569889605
상대,0.010452706828908812
전반,0.01040363308792802
부품,0.01040363308792802
복장,0.010305485605966435
대표,0.01020733812400485
외부,0.010158264383024057
구내식당,0.010158264383024057
사무실,0.010109190642043265
구성원,0.010109190642043265
욕심,0.01001104316008168
상위,0.009912895678120094
요즘,0.009912895678120094
선택,0.009863821937139302
바이,0.00981474819615851
직급,0.009765674455177717
최악,0.009765674455177717
수도,0.009716600714196924
처음,0.009716600714196924
계열,0.009667526973216132
도전,0.00961845323223534
적임,0.00961845323223534
인지도,0.009520305750273754
현실,0.009471232009292962
고용,0.00942215826831217
신입사원,0.00942215826831217
이익,0.00942215826831217
시도,0.00942215826831217
관련,0.00942215826831217
이제,0.009324010786350584
추진,0.009324010786350584
끼리,0.009274937045369792
더욱,0.009274937045369792
정책,0.009225863304389
보람,0.009225863304389
무료,0.009176789563408207
로서,0.009127715822427414
요구,0.009127715822427414
디스플레이,0.009029568340465829
무조건,0.008980494599485037
열사,0.008931420858504244
정신,0.008931420858504244
승률,0.008882347117523452
위기,0.008833273376542659
본사,0.008833273376542659
일해,0.008833273376542659
지역,0.008784199635561867
리더,0.008784199635561867
우리나라,0.008784199635561867
기간,0.008735125894581074
소모품,0.008735125894581074
여러,0.008686052153600281
이용,0.008686052153600281
부족,0.008686052153600281
의지,0.008636978412619489
고민,0.008636978412619489
지속,0.008587904671638696
사이,0.008587904671638696
이해,0.008489757189677111
편임,0.008489757189677111
한계,0.008440683448696319
예전,0.008440683448696319
팀바팀,0.008391609707715526
여러가지,0.008391609707715526
최대,0.008342535966734734
빡세,0.008342535966734734
센터,0.008195314743792355
중심,0.00809716726183077
열정,0.007999019779869184
만족,0.007999019779869184
실제,0.007949946038888392
걱정,0.007949946038888392
제시,0.007949946038888392
전략,0.0079008722979076
터치,0.007851798556926807
정년,0.007851798556926807
다운,0.007753651074965223
무시,0.007753651074965223
타이틀,0.00770457733398443
이야기,0.007655503593003638
인정,0.007655503593003638
마케팅,0.007655503593003638
명절,0.007606429852022845
시작,0.007606429852022845
중간,0.007606429852022845
전혀,0.007557356111042053
이후,0.00750828237006126
굳이,0.0074592086290804676
전문성,0.0074592086290804676
복리,0.007410134888099675
평균,0.007361061147118882
출장,0.007361061147118882
배려,0.007311987406138089
초봉,0.007311987406138089
출신,0.007311987406138089
입장,0.007262913665157297
민원,0.007213839924176504
방향성,0.007115692442214919
직접,0.0070666187012341265
배치,0.0070666187012341265
식대,0.007017544960253334
경직,0.007017544960253334
후생,0.007017544960253334
기억,0.0069684712192725415
준비,0.0069684712192725415
공부,0.0069684712192725415
마련,0.006919397478291749
지시,0.006821249996330164
기대,0.006723102514368579
일정,0.006674028773387786
대리,0.006674028773387786
작성,0.006624955032406994
정리,0.006575881291426201
고생,0.006575881291426201
외국인,0.006526807550445409
주먹구구,0.006526807550445409
뭔가,0.006526807550445409
추구,0.006526807550445409
문서,0.006526807550445409
체적,0.006526807550445409
일반,0.006477733809464616
부담,0.006428660068483824
보고서,0.006428660068483824
경향,0.006428660068483824
인간,0.006379586327503031
경쟁력,0.006330512586522239
과장,0.006330512586522239
향상,0.006330512586522239
코로나,0.006281438845541446
사옥,0.006281438845541446
기획,0.006281438845541446
보안,0.006281438845541446
얘기,0.006281438845541446
고과,0.006232365104560654
상승,0.006232365104560654
브랜드,0.006232365104560654
형태,0.006183291363579861
헬스장,0.006183291363579861
변경,0.006134217622599069
인식,0.006085143881618276
적응,0.006085143881618276
거리,0.006085143881618276
비용,0.006036070140637484
대체로,0.006036070140637484
외국,0.005986996399656691
균형,0.005986996399656691
아쉬움,0.005888848917695106
수가,0.005888848917695106
활용,0.005888848917695106
매년,0.005888848917695106
자기계발,0.0058397751767143135
인프라,0.0058397751767143135
여유,0.0058397751767143135
발생,0.005790701435733521
여성,0.005741627694752728
아래,0.005692553953771935
분배,0.0056434802127911425
연령,0.0056434802127911425
디자인,0.0056434802127911425
스타트업,0.0056434802127911425
당시,0.0055453327308295575
정시,0.005496258989848765
보이지,0.005496258989848765
일부,0.005496258989848765
공유,0.005496258989848765
제외,0.0054471852488679725
편차,0.0054471852488679725
목소리,0.0054471852488679725
공무원,0.00539811150788718
기적,0.00539811150788718
보기,0.00539811150788718
전이,0.005349037766906387
기반,0.005349037766906387
재택,0.005299964025925595
스스로,0.005299964025925595
자기개발,0.005250890284944802
도입,0.00520181654396401
반영,0.005152742802983217
실질,0.005152742802983217
조직개편,0.005152742802983217
사항,0.005103669062002425
