,tfidf
전반,0.012118700401715348
책임,0.012118700401715348
결정,0.012036817290892949
팀바팀,0.011995875735481748
목표,0.011954934180070547
시도,0.011934463402364946
칼퇴,0.011832109513836946
회식,0.011750226403014544
식당,0.011729755625308943
카페,0.011729755625308943
유지,0.011709284847603344
아쉽다,0.011586460181369742
보지,0.01142269395972494
인상,0.01140222318201934
수당,0.011381752404313739
처리,0.01129986929349134
혁신,0.011279398515785738
해결,0.011238456960374538
관계,0.011177044627257738
고민,0.011136103071846537
직무,0.011095161516435336
재택근무,0.011054219961024136
시장,0.010910924517084935
매출,0.010849512183968133
상황,0.010788099850851333
상대,0.010788099850851333
센티,0.010747158295440132
항상,0.010747158295440132
복장,0.010706216740028932
모습,0.010706216740028932
도전,0.01058339207379533
처우,0.01058339207379533
라면,0.01056292129608973
종업,0.010542450518384129
외부,0.01052197974067853
전환,0.010501508962972929
꼰대,0.010440096629856128
좀더,0.010399155074444928
해외,0.010399155074444928
복리,0.010317271963622527
서울,0.010296801185916927
진짜,0.010214918075094526
정책,0.010194447297388925
존중,0.010153505741977724
유연하다,0.010092093408860924
추진,0.010092093408860924
주변,0.010071622631155323
제시,0.009969268742627322
명확하다,0.009948797964921723
후생,0.009928327187216122
방향성,0.009928327187216122
상당하다,0.009907856409510522
관심,0.009907856409510522
일만,0.00984644407639372
할인,0.009825973298688121
관련,0.00978503174327692
실제,0.00976456096557132
주말,0.009682677854748918
도움,0.00964173629933772
의지,0.009621265521632118
로서,0.009559853188515318
위주,0.009477970077692917
지속,0.009477970077692917
포인트,0.009437028522281716
기존,0.009375616189164914
기준,0.009355145411459315
케바케,0.009334674633753714
바이,0.009334674633753714
제발,0.009252791522931314
열사,0.009232320745225713
관리자,0.009232320745225713
바람,0.009232320745225713
가끔,0.009232320745225713
한번,0.009191379189814513
방식,0.009150437634403312
특성,0.009129966856697713
노조,0.00906855452358091
이유,0.00906855452358091
적임,0.00900714219046411
본사,0.00892525907964171
대한민국,0.00890478830193611
라인,0.00886384674652491
강요,0.008822905191113709
구내식당,0.008802434413408108
욕심,0.008781963635702508
무난,0.008761492857996907
점심,0.008741022080291308
충분하다,0.008700080524880107
나이,0.008679609747174506
전혀,0.008638668191763305
전문성,0.008515843525529705
여러,0.008495372747824104
업체,0.008474901970118505
건물,0.008454431192412903
이름,0.008393018859296103
훌륭하다,0.008393018859296103
임밸류,0.008270194193062502
중심,0.0081883110822401
통해,0.0081064279714177
불필요하다,0.008045015638300899
버스,0.008045015638300899
파견,0.007983603305184097
수도,0.007942661749772897
마음,0.007922190972067297
스타트업,0.007922190972067297
단순,0.007901720194361698
상위,0.007901720194361698
차별,0.007881249416656097
생산,0.007881249416656097
사무실,0.007860778638950497
이해,0.007860778638950497
망하다,0.0077993663058336955
더욱,0.007758424750422495
인지도,0.0076765416396000945
마련,0.0076765416396000945
제품,0.007615129306483294
안좋다,0.007594658528777693
시작,0.007533246195660892
보너스,0.007512775417955292
작다,0.0074718338625440915
세계,0.007451363084838491
사옥,0.007451363084838491
여러가지,0.007451363084838491
이상하다,0.007451363084838491
열정,0.007410421529427291
임금,0.007389950751721691
이제,0.007389950751721691
반복,0.00728759686319369
이기,0.007267126085488089
공유,0.007267126085488089
예전,0.007205713752371288
부족,0.007185242974665688
쿠팡,0.007164772196960088
선택,0.007164772196960088
좋아하다,0.007164772196960088
스스로,0.007123830641548887
조직개편,0.007123830641548887
기대하다,0.007103359863843287
식사,0.007062418308432087
이용,0.007062418308432087
한계,0.007062418308432087
우수하다,0.007001005975315286
가족,0.007001005975315286
중간,0.006960064419904086
기획,0.006939593642198485
편임,0.006919122864492885
요즘,0.006857710531376084
역시,0.0068167689759648835
지급,0.006775827420553683
저녁,0.006775827420553683
이야기,0.006775827420553683
이렇다,0.006755356642848083
인정,0.006755356642848083
제일,0.006734885865142482
다운,0.006734885865142482
꾸준하다,0.006714415087436883
여성,0.006714415087436883
전략,0.006673473532025682
만족스럽다,0.006673473532025682
변경,0.006632531976614482
현실,0.006571119643497681
계열,0.006571119643497681
진급,0.0065506488657920805
답답하다,0.00653017808808648
디자인,0.00653017808808648
만족,0.006448294977264079
이익,0.006448294977264079
평균,0.006386882644147278
아침,0.006325470311030478
뛰어나다,0.006304999533324878
도입,0.006304999533324878
과금,0.006284528755619277
주의,0.006284528755619277
적응하다,0.006243587200208077
멀다,0.006243587200208077
배려,0.0062231164225024765
반도체,0.0062231164225024765
공무원,0.0062231164225024765
외국인,0.006202645644796876
개인주의,0.006202645644796876
활용,0.006182174867091276
상승,0.006182174867091276
추구,0.006182174867091276
승률,0.006182174867091276
대체로,0.0061617040893856756
처음,0.006141233311680075
